"parameter_name","display_name","description","units","distribution","scale","category","order","order_scale","order_category","order_parameter","posterior_distribution","posterior_lower","posterior_upper"
"phi_2","Two-Dose Vaccine Effectiveness","Initial vaccine effectiveness for two dose","proportion","beta","global","immunity",15,"01","04","02","beta",NA,NA
"omega_1","One-Dose Vaccine Waning Rate","Vaccine waning rate for one-dose vaccination","per day (rate)","gamma","global","immunity",16,"01","04","03","gamma",NA,NA
"omega_2","Two-Dose Vaccine Waning Rate","Vaccine waning rate for two-dose vaccination","per day (rate)","gamma","global","immunity",17,"01","04","04","gamma",NA,NA
"epsilon","Natural Immunity Waning Rate","Natural immunity waning rate","per day (rate)","lognormal","global","immunity",18,"01","04","05","lognormal",NA,NA
"chi_endemic","PPV in Endemic Periods","Positive predictive value of suspected cholera cases in endemic periods","proportion","beta","global","surveillance",19,"01","05","01","beta",NA,NA
"chi_epidemic","PPV in Epidemic Periods","Positive predictive value of suspected cholera cases in epidemic periods","proportion","beta","global","surveillance",20,"01","05","02","beta",NA,NA
"delta_reporting_cases","Case Reporting Delay","Days from infection to case report in surveillance data","days","truncnorm","global","surveillance",21,"01","05","03","truncnorm",0,7
"delta_reporting_deaths","Death Reporting Delay","Days from infection to death report in surveillance data","days","truncnorm","global","surveillance",22,"01","05","04","truncnorm",0,14
"rho","Care-Seeking Probability","Probability a symptomatic infection is reported as a suspected case","proportion","beta","global","surveillance",23,"01","05","05","beta",NA,NA
"mobility_gamma","Mobility Distance Decay","Distance decay parameter for human mobility","dimensionless","gamma","global","mobility",24,"01","06","01","gamma",NA,NA
"mobility_omega","Mobility Population Scaling","Population scaling parameter for human mobility","dimensionless","gamma","global","mobility",25,"01","06","02","gamma",NA,NA
"prop_S_initial","Initial Susceptible Proportion","Proportion of population susceptible at start","proportion","beta","location","initial_conditions",26,"02","01","01","beta",NA,NA
"prop_E_initial","Initial Exposed Proportion","Proportion of population exposed at start","proportion","beta","location","initial_conditions",27,"02","01","02","beta",NA,NA
"prop_I_initial","Initial Infected Proportion","Proportion of population infected at start","proportion","beta","location","initial_conditions",28,"02","01","03","beta",NA,NA
"prop_R_initial","Initial Recovered Proportion","Proportion of population recovered/immune at start","proportion","beta","location","initial_conditions",29,"02","01","04","beta",NA,NA
"prop_V1_initial","Initial One-Dose Vaccinated Proportion","Proportion with one vaccine dose at start","proportion","beta","location","initial_conditions",30,"02","01","05","beta",NA,NA
"prop_V2_initial","Initial Two-Dose Vaccinated Proportion","Proportion with two vaccine doses at start","proportion","beta","location","initial_conditions",31,"02","01","06","beta",NA,NA
"beta_j0_tot","Total Base Transmission Rate","Total base transmission rate (human + environmental)","per day","gompertz","location","transmission",32,"02","02","01","gompertz",NA,NA
"p_beta","Human-to-Human Proportion","Proportion of total transmission that is human-to-human","proportion","beta","location","transmission",33,"02","02","02","beta",NA,NA
"a1","Seasonality Coefficient a1","First Fourier cosine coefficient for seasonality","dimensionless","normal","location","seasonality",34,"02","03","01","normal",NA,NA
"a2","Seasonality Coefficient a2","Second Fourier cosine coefficient for seasonality","dimensionless","normal","location","seasonality",35,"02","03","02","normal",NA,NA
"b1","Seasonality Coefficient b1","First Fourier sine coefficient for seasonality","dimensionless","normal","location","seasonality",36,"02","03","03","normal",NA,NA
"b2","Seasonality Coefficient b2","Second Fourier sine coefficient for seasonality","dimensionless","normal","location","seasonality",37,"02","03","04","normal",NA,NA
"psi_star_a","Suitability Shape/Gain","Shape/gain parameter for logit calibration of NN suitability (a>1 sharpens, a<1 flattens)","dimensionless","truncnorm","location","environmental",38,"02","04","01","truncnorm",NA,NA
"psi_star_b","Suitability Scale/Offset","Scale/offset parameter for logit calibration (shifts baseline up/down)","dimensionless","normal","location","environmental",39,"02","04","02","normal",NA,NA
"psi_star_z","Suitability Smoothing","Smoothing weight for causal EWMA (z=1: no smoothing, z<1: smoothing)","proportion","beta","location","environmental",40,"02","04","03","beta",NA,NA
"psi_star_k","Suitability Time Offset","Time offset in days for suitability calibration (k>0: delay, k<0: advance)","days","truncnorm","location","environmental",41,"02","04","04","truncnorm",NA,NA
"mu_j_baseline","Baseline IFR","Baseline location-specific infection fatality ratio","proportion","gamma","location","disease",42,"02","05","01","gamma",NA,NA
"mu_j_slope","Temporal IFR Trend","Temporal trend in IFR (change per year)","per year","normal","location","disease",43,"02","05","02","normal",NA,NA
"mu_j_epidemic_factor","Epidemic IFR Multiplier","Multiplier applied to IFR during epidemic periods","dimensionless","gamma","location","disease",44,"02","05","03","gamma",NA,NA
"epidemic_threshold","Epidemic Threshold","Case incidence threshold for epidemic period classification","cases/100k/week","lognormal","location","disease",45,"02","05","04","lognormal",NA,NA
"tau_i","Travel Probability","Country-level travel/mobility probability","probability","beta","location","mobility",46,"02","05","05","beta",NA,NA
"theta_j","WASH Coverage","WASH coverage index (proportion with adequate water, sanitation, hygiene)","proportion","beta","location","spatial",47,"02","05","06","beta",NA,NA
